transcript,wav_filename,wav_filesize
Birortalari ham bironta podsho huzurida bo‘lmagan,AwACAgIAAxkBAAIKel-hpVkvHtFu-bCAYboHL48L11p4AALlBwAC-QoQSWbbs8DSjiyPHgQ.wav,17345
Bunday ta’qib sovet hukumatini tashvishlantirib qo‘yadi,AwACAgIAAxkBAAIVE1-jtQ9qbsUXxmSouWkNT-zPKkpoAAIrCQACwJ8YSWII0xBnn6jaHgQ.wav,11435
Bizning Marg‘ilonda bir qiz bor.,AwACAgIAAxkBAAIVU1-jtgVo8h6RAmqh0UO3DZEQQAlnAAJLCQACwJ8YSVFPVbMpynM2HgQ.wav,8850
Labo elektromobilini yarim yil ichida yaratish ko‘zda tutilgan.,AwACAgIAAxkBAAJao2AzZgq7KPHNaICTBN96D7vGGieLAALeCgAC1_CZST1P7tYf0zTOHgQ.wav,16333
Bozor iqtisodiyoti va undagi davlatning o’rnini shunga qiyoslasa bo’ladi.,AwACAgEAAxkBAAJcJGAzaPmHpSJXVbTwIaIdEflmRL_qAALqAQACBfKYRRW7YA1up3IdHgQ.wav,26813
Qanday fikrlash mumkin?,AwACAgEAAxkBAAJd22Aza7purIb_vZOFKuevwgNLAAHpTwACFwIAAgXymEUMLvSp3nPDqB4E.wav,8353
Odamlarning tabaqaga bo‘linishi bekor qilinadi,AwACAgIAAxkBAAJeG2AzbBUj62PFv6OYmLHP1DP3CGjGAAKxCwACSwiYSUX9zfK0v0siHgQ.wav,7798
Ammo u yolg‘iz emasdi,AwACAgIAAxkBAAJem2AzbQu8poYp4Cp7FMbhPhyDC9NIAALPCwACSwiYSVr2DLnNEIG6HgQ.wav,6053
Baxt hammani o'z qo'lida yoki yonida,AwACAgIAAxkBAAJxTWAzolDLZsPjfDHkQkQ4fVqJz_nxAAJ_DAACMbKhSSc2HkvrCnd5HgQ.wav,13644
"sovuq havoda avtomobil qanaqa yuradi, shularni sinashimiz kerak.",AwACAgIAAxkBAAJzzGAzsNFnpJ6UtU6t_1VJ_AZ31Hh_AAJnDwAC0lugSSqThiK-TLCMHgQ.wav,15567
Ammo nega bularni soʻrading,AwACAgIAAxkBAAJ0C2AzsTcUOp8dbBc5EkhQGGrLaX6EAAIMDQACMbKhSX9purs7tY6AHgQ.wav,10537
Bu kutubxona ma`lumotlari elektron ko`rinishda bo`ladi va ular kompyuterda joylashadi.,AwACAgIAAxkBAAJ0SGAzsYnV7lxBXv8GHwY2JzwqMrj3AAKzCwACRuKZSd_ZgSkRmJXKHgQ.wav,28838
Monopoliyaga qarshi kurashish qo‘mitasi tomonidan qonun hujjatlari talablari buzilganligi holati yuzasidan xususiy ajrim chiqarish yo‘li bilan munosabat bildirildi.,AwACAgIAAxkBAAJ0xmAzsmdMDAXQ63RMDPvF0i7X2mOUAALFCwACRuKZSRa6_bcTWQaqHgQ.wav,50243
Mazkur iltimosnoma yuzasidan taraflar fikri so‘ralgach,AwACAgIAAxkBAAJ1AWAzspScGAPjYu1rHLDXsnHRh-1TAAKEDwAC0lugSRTuPT71WFM5HgQ.wav,18484
Siz ham roʻyxatdan oʻting. Doʻstlaringiz bilan boʻlishing.,AwACAgIAAxkBAAJ2sGAztOkMYlUVZMGz1BSxkbEsbyhQAAI2DwACe9qgSfd1ge4AATE7Uh4E.wav,30700
Assalomu alaykum,AwACAgIAAxkBAAJ272AztUC0laD_fpsVJK0Dd9DTgMUVAAJADwACe9qgSY0XqXLg8fwRHgQ.wav,14846
O‘zbekistonda dollarning rasmiy kursi yana oshdi.,AwACAgIAAxkBAAIBOV-g8VyrBbiFSDM_uZv6T1JQpjt1AALPCgACDwIISTH4nXpn2SxWHgQ.wav,8595
Tabiat bizga imkonsiz narsalar sodir bo’lishi ehtimoli borligini o’rgatadi.,AwACAgIAAxkBAAIK-1-hp4pBKbVR78LJEoIhkC0fOY7wAAIiCAAC-QoQSb2y3zDi3ZNEHgQ.wav,21699
"Aprelda, endigina ellikni qoralaganida omonatini topshirdi",AwACAgIAAxkBAAIKul-hpk_Ctka5WaFGjRjEcCM_1qpzAAICCAAC-QoQSUppxcX1-fZbHgQ.wav,18421
AQSh moliya bozorlari bugun qip-qizil qonga belandi.,AwACAgIAAxkBAAIR_F-i_efSUstyj8zaZ0KCcXOSN_3CAAIWCwACauUZSfqaHqbixzobHgQ.wav,14543
Cherkovlarni portlatib yuborishadi,AwACAgIAAxkBAAIVVV-jtgsYl_efB8RJb8gRZcj6sds8AAJMCQACwJ8YSdMbXUvfmgyHHgQ.wav,8668
Qoidalarni va nazariyalarni ayniqsa ularni buzadiganlar yaxshi bilishi kerak.,AwACAgIAAxkBAAIYFV-ks4cSiwrPfTC55XSoe83EpZ1EAALHCgACwJ8gSU7q3WAu6ewGHgQ.wav,18626
yomon axloqning qalb sofligiga beradigan zarari esa qo'rqinchliroqdir.,AwACAgIAAxkBAAIY1F-kvq2Ig5_fp_BnHsyufv2TQU3FAAKgCQAC6uwpSRkzr1kP4cn-HgQ.wav,20095
vazirlar mahkamasining yangi tarkibi shakllantirilguniga qadar mamlakat prezidentining qaroriga muvofiq o'z faoliyatini davom ettirib turadi.,AwACAgIAAxkBAAJBEV_SZTs8p6szd8Ewlsv14Jaa49-eAAKUCQACqCyRSvXDnxh7GgLIHgQ.wav,42668
"Kutubxona deganda, odatda, ko`plab kitoblar terib qo`yilgan, uzun, katta javonlar joylashgan xonalar ko`z oldimizga keladi.",AwACAgEAAxkBAAJCPl_bm0Kei3mog05fNX4ou9_KOmnfAAKGAQACMC3gRjQm06NvYH1ZHgQ.wav,27825
"Elektron kutubxonada javonlar vazifasini jildlar, kitoblar vazifasini esa Internet saxifalari bajaradi.",AwACAgEAAxkBAAJCQF_bm1D8cPrhpBHyYuOIPNz0UIeOAAKHAQACMC3gRpgM0a8KdpT0HgQ.wav,23977
Ular Parijga kirib kelishadi,AwACAgEAAxkBAAJZ82AzY-yltNmqVYZZZkzT3FISK3UkAAKHAQACBfKYRU8yJ6oNJ_j9HgQ.wav,11546
Lekin buni kamida bir yil sinash kerak.,AwACAgIAAxkBAAJapWAzZgzxevhHeq9w1Y3AiSiR9nAIAAKFCwACSwiYSVZGDIhRs39YHgQ.wav,8540
O‘zbekistonda dollarning rasmiy kursi yana oshdi.,AwACAgIAAxkBAAJbJGAzZtEu2Z_1xGJhtHHw3ZqLbnnLAAKOCwACSwiYSQSVkTdUpekXHgQ.wav,10068
"Eksportni subsidiya qilish, importni subsidiya qilishga teng.",AwACAgEAAxkBAAJbZmAzZy3d3PCco27RLLLFJ0H5cuZ2AALIAQACBfKYRUgEdQixWFO1HgQ.wav,22374
Kimlar qatnashishi mumkin,AwACAgEAAxkBAAJcJmAzaQAB7I2aMsBBh8wlg43-UQXXCgAC6wEAAgXymEX4X-Lym-ytPx4E.wav,9905
"Aslida, dasturchining ish haqi oʻzgarib turadi va bu mutaxassisning tajribasiga bogʻliq.",AwACAgEAAxkBAAJcZWAzaZAWPcKIYdu64kSZ2WZBMNdvAAL2AQACBfKYRa1JPky1V3gpHgQ.wav,30898
Maqtovlardan mag‘rurlanish nafsni buzadi,AwACAgIAAxkBAAJenWAzbRHjZSeehzxof78kMut7-b3KAALQCwACSwiYSdajUmFx32CeHgQ.wav,9483
Bizning Marg‘ilonda bir qiz bor.,AwACAgIAAxkBAAJ2MWAztCUn6GJKdJxOZNQU0DUl4nrvAAJyCQACOtagSVfpq9UNCRAEHgQ.wav,9214
Lekin buni kamida bir yil sinash kerak.,AwACAgIAAxkBAAJ2bmAztI9Im1kzdyJLexddRemK7HJaAAKpCwACiEqgSS7jJtYUnkoMHgQ.wav,13532
"Suv suyuq boʻlgani kabi, byudjetdan tashqari byudjet ham yomon narsa.",AwACAgIAAxkBAAJ252AztTXkDFxq5jA3FajVWgZreY4qAAKRCQACOtagSYkZ6o-dXJbAHgQ.wav,16073
Kutilgan natijalar.,AwACAgIAAxkBAAKKumAz6SBa4Pyx9wJqILKGjRaz0AsCAAI2DQAC1C-hScSCEV7rSJG4HgQ.wav,10714
Kuchli bo'lishni xohlasangiz yolg'iz kurashishni o'rganing.,AwACAgIAAxkBAAEBv4hgOMBJWaMwJtknQ12CgBnGGvUkjAACpwoAAjdFyUnU3LzBsJLnmR4E.wav,12980
Ammo nega bularni soʻrading,AwACAgIAAxkBAAKLeGAz6nX8SYgMJF0zoQoUStYza85LAAI0DwAC-gWhSS1ZjrPC_AjaHgQ.wav,6989
Meva-sabzavotlar narxlari bozorlarda bir-biridan ko‘p ham farq qilmaydi.,AwACAgIAAxkBAAKNI2Az7gkKJLTo53PtucXgmGP1x3sDAAJhDQACmmSgSdKqrpMoJBZHHgQ.wav,16249
"sovuq havoda avtomobil qanaqa yuradi, shularni sinashimiz kerak.",AwACAgIAAxkBAAIBPF-g8V8QG7D-uGOv7WUsV1k0VaNfAAJ0CQACeMsISY0Q13b7t9LLHgQ.wav,13888
Shu marafonni tashkil qilganlarga rahmat.,AwACAgIAAxkBAAIK_V-hp5D2oZxQ45bar8aVrmwb_Gn0AAIjCAAC-QoQSbZXqdJ4xXD5HgQ.wav,12348
Ammo u yolg‘iz emasdi,AwACAgIAAxkBAAIKvF-hplRNaIhDXcX_2zFS9-ySqgNSAAIDCAAC-QoQSeeQ9J1_GNpdHgQ.wav,8458
Ular Parijga kirib kelishadi,AwACAgIAAxkBAAIKfl-hpWWcmUDMZPD_LfmT3ErV8fAnAALnBwAC-QoQSQABLIFujdEV6x4E.wav,9013
Lekin buni kamida bir yil sinash kerak.,AwACAgEAAxkBAAIUaF-jjvvmEYbjjdHWd7oHbxMGpM0QAAKlAAMKESFFMPt4VXN0xw8eBA.wav,8232
"onasidan mash'um xabarni eshitgandan boshlab, tinmay yig'ladi.",AwACAgIAAxkBAAIUjV-jmJKlZcM44R4xyPRiXexaKcfLAAJhCQACH-sYSdIU6h66K9B9HgQ.wav,18973
Ilmi ham yomon emas,AwACAgIAAxkBAAIVV1-jthE1nK_ovQttzxFT-0HLo0YOAAJNCQACwJ8YSUYOH29DhBfGHgQ.wav,7426
"Bizda ingliz tilidagidek, otlarga jins berilmaydi.",AwACAgIAAxkBAAIYKl-ks_ZFjj3FCiZw6Wu54VoTZseKAALQCgACwJ8gSXEXEYhAxEDMHgQ.wav,14214
"muhammad yusuf ijodining o'ziga xos xususiyati shundaki, u juda oson o'qiladi, sodda, xalqchil.",AwACAgIAAxkBAAIZDF-kxvqj3Tlb3ZdeNOxv68a3TEQ7AAJ8CgACpu4pSSS5zh870YKLHgQ.wav,23296
"onasidan mash'um xabarni eshitgandan boshlab, tinmay yig'ladi.",AwACAgIAAxkBAAI_aV_Lz4yRVgtu3syyj1Fer_oY4YNYAALgCAAC0pJYSkFWY5mlDULBHgQ.wav,18728
Lekin buni kamida bir yil sinash kerak.,AwACAgIAAxkBAAJAIF_NDYYisZwSLuTnNyXM79kgMOI1AAMLAAKR-WlKuQk6O9Rp3qgeBA.wav,13095
"muhammad yusuf ijodining o'ziga xos xususiyati shundaki, u juda oson o'qiladi, sodda, xalqchil.",AwACAgIAAxkBAAJB5F_ab1KLPBTtVn9icvqkCKOBb4_RAAKKCgACbRzQSle1KlP-iSqyHgQ.wav,28966
Kinematik sxema va uni boshqaradigan elastik boshqaruv dasturini ishlab chiqyapmiz.,AwACAgUAAxkBAAJCCF_bJeDt9k6tluW2iMhgLQSuyHK8AAKcAQACt2HZVnosq5GXTuVvHgQ.wav,12933
"Bu jarayonda mashinaning ichki yonuv dvigateli va uzatmalar qutisi olib tashlanadi, o‘rniga elektr dvigatel, reduktor va kontrollyor o‘rnatiladi.",AwACAgEAAxkBAAJCMF_bmvdxJnzQVDS_lwYoZTTo_sDtAAJ_AQACMC3gRqNq8seZIwLTHgQ.wav,40714
O‘zbekistonda dollarning rasmiy kursi yana oshdi.,AwACAgEAAxkBAAJCOF_bmyJKZVvMhWppzpPi01rk-5A1AAKDAQACMC3gRt6U2bQInA6zHgQ.wav,13171
O‘zbekistonda dollarning rasmiy kursi yana oshdi.,AwACAgIAAxkBAAJCaF_cWVzo4PrULZelzdz8SL0yIqtQAAI4CAACsrbhSs15gqvs7Yd9HgQ.wav,12499
Zolotoy toychoq mukofotiga sazovor bo‘lgan,AwACAgEAAxkBAAJap2AzZg4LkdoEaZUXiWwBcasgjIQGAAKyAQACBfKYRb-H2TVfrpvQHgQ.wav,16365
"Har bir mamlakatda yangi dori-darmonlar ishlab chiqarilganidan keyin u bir necha bosqichda sinovlardan o‘tkaziladi, jumladan vaksinalar ham.",AwACAgEAAxkBAAJa6GAzZn6GQWy3Pmbbu0AIzb_DVR9dAAK8AQACBfKYRa7NwntpaanDHgQ.wav,50658
Mazkur iltimosnoma yuzasidan taraflar fikri so‘ralgach,AwACAgIAAxkBAAJbKGAzZtQ39KjDglKAOq0x4u4y7OkoAALzCgAC1_CZSYQw9p9H3TGmHgQ.wav,14978
Olomon qurol-aslaha omborlariga hujum qiladi,AwACAgIAAxkBAAJbaGAzZy5pfFpOtDJvr6bQd3ttLoDbAAL-CgAC1_CZSW_RP6SdAaI0HgQ.wav,12763
"Men arxitektor emasman, lekin goʻzallikni yaxshi koʻraman.",AwACAgEAAxkBAAJcKGAzaQos2ZkxAWzLBUn8spFMrM_SAALsAQACBfKYRQL3QlAKGFYyHgQ.wav,19095
Monopoliyaga qarshi kurashish qo‘mitasi tomonidan qonun hujjatlari talablari buzilganligi holati yuzasidan xususiy ajrim chiqarish yo‘li bilan munosabat bildirildi.,AwACAgIAAxkBAAJd4WAza8KcBVp_bgYJJUDLtJmWwyw7AAKrCwACSwiYSRpR0Y6_t5XxHgQ.wav,26351
Barchani shu kun bilan tabriklayman!,AwACAgIAAxkBAAJ38mAztuCbGJBLPw_14l9JYj83-Bg0AAI1DAACRuKZSSk0jeW7SNTjHgQ.wav,16734
Yangi avlod patlar bilan bezatilgan soch turmagiga o‘tsin,AwACAgIAAxkBAAJ4MmAztyLWSOPa9xp4etQvCr56M8CrAALqCQACLiGgSc2wogIx8R5bHgQ.wav,15784
Bu narsa badgumonlikka olib keladi,AwACAgIAAxkBAAJ4cmAzt44kU_u1grY9inIw8R9BHuBqAALaCwACqxugSUeEYzbEq5z_HgQ.wav,8488
"Hozirda mazkur holat yuzasidan bojxona organlari tomonidan jinoyat ishi qo‘zg‘atilib, tegishli tergov organlariga yuborildi.",AwACAgIAAxkBAAKL3GAz6yaOhdnP-XYF9Gqz_HCR6KPpAAJDDwAC-gWhScspoxBaXZzZHgQ.wav,26220
Sobiq ittifoq tarixidagi eng dahshatli zilzila sifatida qayd etilgan.,AwACAgIAAxkBAAEBvhdgOL6AluHI2qayzNAW8QABhpllTZwAApMKAAI3RclJu89SHEjEy4geBA.wav,15699
Siz ham roʻyxatdan oʻting. Doʻstlaringiz bilan boʻlishing.,AwACAgIAAxkBAAIK_1-hp5f9iyURxryPGy66yGRNSPb0AAIkCAAC-QoQSU7XY56im2qmHgQ.wav,15805
Maqtovlardan mag‘rurlanish nafsni buzadi,AwACAgIAAxkBAAIKvl-hpmD5OzTzqTwbVcyDdcF_BxVqAAIECAAC-QoQSRRfMa3J4VJeHgQ.wav,13395
Zalda gulduros qarsaklar yangraydi,AwACAgIAAxkBAAIKgF-hpWv-Zgl66kNtihf4XSkfoSydAALoBwAC-QoQSWlCotUPKspVHgQ.wav,11114
Tarixdagi eng dahshatli zilzilalar.,AwACAgIAAxkBAAISS1-jATSvi5T_9MjJJtLa2hCg2oaXAALQCQAC1jwYSeeKDIkYs7vnHgQ.wav,13059
Baxt hammani o'z qo'lida yoki yonida,AwACAgIAAxkBAAISi1-jA6yYrV1_vhsoUD4NXJCC1RV8AAL0CQAC1jwYSf9ZuOVoMS-8HgQ.wav,11039
"Bu farmonda siz aytganingizdek, lotin yozuviga to‘liq o‘tish yuzasidan topshiriqlar ham belgilangan.",AwACAgIAAxkBAAISy1-jCZVQrOrKtYKflwn9nO24dxYbAAIeCgAC1jwYSaN5nNtdyGojHgQ.wav,27180
Yolg‘iz o‘zimiz hokimiyatni saqlab qololmaymiz deb aytdi hokim,AwACAgIAAxkBAAIVGV-jtTQmIxuoKLe8y4A5_7TYks82AAIuCQACwJ8YSZMg_wABOopp1R4E.wav,14455
Mirzo Anvarga ruxsat bermadi,AwACAgIAAxkBAAIVWV-jthbxZx31F3Ni1wABpNoTj8jsGgACTwkAAsCfGEm9LZ4xAzRTpx4E.wav,7617
Lekin buni kamida bir yil sinash kerak.,AwACAgIAAxkBAAJDRV_v5Yiw21u_r5NI_UmGtl63A8G8AAJkCQACe6eBSwnIVUftuhyPHgQ.wav,8160
Bu kutubxonadan foydalanish juda qulay.,AwACAgIAAxkBAAJDa1_wPmtVUYWy2NgWuRakuB8-JB3sAAJDCQAClqmASwSqA5TaSrUxHgQ.wav,12244
"Qayd etilishicha, tabiiy gaz taqsimotini muvozanatlashtirish bo‘yicha maxsus vaqtinchalik choralar ko‘rilmoqda",AwACAgIAAxkBAAJDcl_wP4KvED4IXMuQMMaokUP1ONiRAAJGCQAClqmAS1rDvPUkaDrQHgQ.wav,35340
“Yashirin iqtisodiyot” bilan kurashish ancha qiyin va uddasidan chiqish mushkul boʻlgan masala.,AwACAgIAAxkBAAJEHl_wRLPk_T4fN0nbJbppDyRfveLVAAKjCQAClqmAS--uyD9mhrW5HgQ.wav,24082
"muhammad yusuf ijodining o'ziga xos xususiyati shundaki, u juda oson o'qiladi, sodda, xalqchil.",AwACAgIAAxkBAAJE6F_91dW7HmoTmXUQFkX6nMXrEJfhAALbCwACrSjxS13T_gkH6rtyHgQ.wav,68047
Elektron kutubxona-Internetning ajoyib imkoniyatlaridan  biridir.,AwACAgIAAxkBAAJFRmAFZ5PUk0pQfPaHCtFXBd1QWX14AALbCgACnDcpSLdt76ntEHkmHgQ.wav,15824
Odamlarning tabaqaga bo‘linishi bekor qilinadi,AwACAgIAAxkBAAJFemAFbr6D3nkMydriMjaa0Vpfgvq3AAL_CgACnDcpSGoNd_faKY29HgQ.wav,10054
Pomidor va bodring ayrim hududlar markazlarida keskin qimmatlagan.,AwACAgIAAxkBAAJGN2AF9yRkM2aMAivJkMrMVFjhxyJsAAITDQACWooxSHXNm8sGGFg0HgQ.wav,14152
"Qayd etilishicha, tabiiy gaz taqsimotini muvozanatlashtirish bo‘yicha maxsus vaqtinchalik choralar ko‘rilmoqda",AwACAgIAAxkBAAJHq2AekDhr-ZDznWjxJs55VCe7M0HYAAJjCwACRNLxSJLM-lQeLeihHgQ.wav,24263
Qisqa muddatlarda kuz-qish mavsumida muqobil yoqilg‘i turlaridan foydalanishni amalga oshirish ko‘zda tutilgan.,AwACAgIAAxkBAAJa6mAzZoA8xUguv2x1z-AuE0Tu56dQAALqCgAC1_CZSaR7hcAG1k-RHgQ.wav,25674
"kishilar bepoyon yashil o'tloqlar, tevarakni o'rab olgan turli tuman yovvoyi hayvonlaru bo'rilarning hamlalari aro turli taraflarga yo'l olganlar.",AwACAgIAAxkBAAJc4WAzapD3FY01xKaiyiIXFdZP6xMaAAI_CwACLWmYSTXHAAHxF4Wg4x4E.wav,45623
"Kutubxona deganda, odatda, ko`plab kitoblar terib qo`yilgan, uzun, katta javonlar joylashgan xonalar ko`z oldimizga keladi.",AwACAgIAAxkBAAJdX2AzaxoBfx6RqEn9dPXj8fNgMy_IAAJPCwACLWmYSYkJqjevFLcFHgQ.wav,24748
Qiynalib ishlab topgan pulingizni firibgarlarga berib qo’ymang.,AwACAgEAAxkBAAJdnWAza2jGP30eFeeJI0mcyFbvkg7wAAIPAgACBfKYRdPGhHsQiqZLHgQ.wav,21175
"muhammad yusuf ijodining o'ziga xos xususiyati shundaki, u juda oson o'qiladi, sodda, xalqchil.",AwACAgIAAxkBAAIBeF-g8YYuEtR2Tjr5IsDosYElW54lAALFCgACuyIISbi1qSDueJrUHgQ.wav,26582
O‘shanda o‘n to‘rt yosh,AwACAgIAAxkBAAIKwF-hpmXdThWPwwMMXphrIkNLniL5AAIFCAAC-QoQSZvMTJIE5JBiHgQ.wav,7251
"Hurmatimni joyiga qoʻymasa, men ham uni hurmat qilib boʻlibman!",AwACAgIAAxkBAAITC1-jDFDj7fJtsqOXZqS6bSKM5ktOAAJJCgAC1jwYSTNEOUui5gmfHgQ.wav,16654
Bizlarga o‘ylagan narsalarini tap tortmay gapiradigan kishilar yoqadi,AwACAgIAAxkBAAISTV-jAVRdQ0F0XMh6voUa5gAB8gNvkwAC0QkAAtY8GEnVr0ID_CDSsh4E.wav,18801
Temurbek hayratda qoldi,AwACAgIAAxkBAAIVXV-jtiIKmi9m_B6ZBmHqFNzQClIBAAJRCQACwJ8YSb4Cxs-2hpKvHgQ.wav,6558
yomon axloqning qalb sofligiga beradigan zarari esa qo'rqinchliroqdir.,AwACAgIAAxkBAAI_fV_L3IIyAAF61FURkeQnPgIsRbmB_QAC7gkAAix3YEqFSiX6ZRX4lh4E.wav,19753
Qilichbozlikda Temurbek hammadan ustun keldi,AwACAgIAAxkBAAJD4F_wQwX2KY_YvZfVZyr7nLWgCqs9AAKBCQAClqmAS9WP32_Rr-CyHgQ.wav,15069
"kishilar bepoyon yashil o'tloqlar, tevarakni o'rab olgan turli tuman yovvoyi hayvonlaru bo'rilarning hamlalari aro turli taraflarga yo'l olganlar.",AwACAgIAAxkBAAJE6l_91ehG2rEEVzMjXEe0D7QzTDcuAALdCwACrSjxSzfSPG_swLe3HgQ.wav,100290
"Bu jarayonda mashinaning ichki yonuv dvigateli va uzatmalar qutisi olib tashlanadi, o‘rniga elektr dvigatel, reduktor va kontrollyor o‘rnatiladi.",AwACAgIAAxkBAAJE-F_91jc0IMfYDT_Td5Bn1ny5jHnKAALoCwACrSjxS8iG9SYnSiKBHgQ.wav,93043
"Kutubxona deganda, odatda, ko`plab kitoblar terib qo`yilgan, uzun, katta javonlar joylashgan xonalar ko`z oldimizga keladi.",AwACAgIAAxkBAAJFSmAFZ7OdqLz_mHUxiZ_o3B20aYapAALdCgACnDcpSOFmGOMOJu5EHgQ.wav,23919
"Kirsam, yettita o‘qituvchi qator o‘tiribdi",AwACAgIAAxkBAAJFimAFbvjs8ccsy23Ws70IkmCSaEZuAAIHCwACnDcpSPA7PVLQBT7KHgQ.wav,9650
Men maxluqni o‘ldirdim,AwACAgIAAxkBAAJFyGAFb9P_fHUgg8LLe1NntHcXWHhiAAImCwACnDcpSJ2mc-ZNEBMtHgQ.wav,6195
shifoxonalar va ta'lim muassasalariga yetkazib berilishi kerak,AwACAgIAAxkBAAJGLWAF9srd15xzxzZBCUghjRPnvi4ZAAIODQACWooxSMcYohvVmI_5HgQ.wav,12806
Monetar siyosatda katta oʻzgarishlar.,AwACAgIAAxkBAAJHIWAVb5bllkYXXzUvCGCjBY_Ue-5QAALBCgACSVSxSHxhhfenOfW3HgQ.wav,9671
yomon axloqning qalb sofligiga beradigan zarari esa qo'rqinchliroqdir.,AwACAgIAAxkBAAJad2AzZY1puPE9PwHPuY1S3AABMa7OiAACLgkAAkIfmUlcNqySsMSjOB4E.wav,18888
Biz boynikida qo‘nadigan bo‘ldik,AwACAgIAAxkBAAJbcmAzZ0JeFJyahcw84-ONUBOL1tx4AAIBCwAC1_CZSdyTsCcJcncMHgQ.wav,10287
"Bir xil payt esa, oshirib yuborishadi, natijasi esa kulgili boʻladi.",AwACAgEAAxkBAAJbsmAzZ7J1FICblth0-7i6e5oXumvVAALSAQACBfKYRdwHYe7y3ERJHgQ.wav,24073
Ijtimoiy va gumanitar fanlar nihoyatda zarur - ayniqsa aniq fan o’qiydiganlarga.,AwACAgEAAxkBAAJb8mAzaDnE7rVZVh2VSbouEvW4akYyAALcAQACBfKYRfxQ2rUwQpfSHgQ.wav,29790
